RF55_10003,102655984,8e-92
RF55_1000,552793,0.0
RF55_10005,551204,1e-22
RF55_10006,411983,6e-85
RF55_10007,552577,4e-51
RF55_10008,724548,0.0
RF55_10009,411257,3e-180
RF55_10010,100576623,2e-07
RF55_10013,552417,6e-102
RF55_10014,410639,1e-27
RF55_1001,725634,1e-71
RF55_10023,410671,2e-129
RF55_1002,410887,3e-13
RF55_10025,100576592,2e-09
RF55_10027,409794,5e-161
RF55_10028,552171,1e-87
RF55_10030,409562,3e-108
RF55_10031,411770,1e-141
RF55_10032,727173,3e-27
RF55_10033,100576993,0.0
RF55_1003,408906,3e-11
RF55_10039,412880,0.0
RF55_100,408317,3e-48
RF55_1004,102654121,7e-137
RF55_10041,412881,0.0
RF55_10047,413928,9e-12
RF55_10049,412889,6e-40
RF55_10050,552364,7e-35
RF55_10053,414033,1e-20
RF55_1005,412552,4e-152
RF55_10054,726251,3e-17
RF55_10056,411048,2e-142
RF55_10057,411048,5e-26
RF55_10058,409470,3e-100
RF55_10059,551379,1e-40
RF55_1006,410757,0.0
RF55_10065,552181,6e-05
RF55_10067,725477,0.0
RF55_10068,409334,0.0
RF55_10069,725439,2e-140
RF55_10070,411991,0.0
RF55_10073,408970,2e-42
RF55_1007,408622,0.0
RF55_10074,552364,2e-58
RF55_10075,412099,5e-151
RF55_10076,409952,0.0
RF55_10078,100577272,0.0
RF55_10079,409607,0.0
RF55_10080,411229,3e-75
RF55_10081,100820634,3e-139
RF55_10082,100576519,0.0
RF55_10083,726228,0.0
RF55_10084,102655661,3e-28
RF55_10085,102655593,7e-64
RF55_10086,551843,0.0
RF55_1008,725922,2e-90
RF55_10089,102653626,5e-10
RF55_10090,102653626,4e-56
RF55_10092,727257,5e-69
RF55_10093,725076,3e-05
RF55_10094,102653626,2e-21
RF55_1009,411968,0.0
RF55_10095,100578817,8e-33
RF55_10096,100578817,5e-127
RF55_10099,725098,0.0
RF55_10103,102653626,1e-14
RF55_10104,100578984,5e-55
RF55_1010,725982,0.0
RF55_10108,102653626,3e-11
RF55_10110,408957,3e-118
RF55_1011,100576404,0.0
RF55_10112,550962,1e-56
RF55_10114,544670,0.0
RF55_10115,100576592,1e-08
RF55_10116,408384,1e-71
RF55_10117,408384,0.0
RF55_10119,102653626,1e-11
RF55_10121,409884,0.0
RF55_10122,409883,0.0
RF55_10123,411750,0.0
RF55_1012,408862,0.0
RF55_10124,102655306,6e-26
RF55_10132,725744,3e-176
RF55_10133,411049,5e-91
RF55_10134,411049,1e-45
RF55_10135,100578890,3e-29
RF55_10136,100578011,0.0
RF55_10137,102653626,8e-18
RF55_1013,724700,1e-174
RF55_101,406117,0.0
RF55_10142,408423,6e-40
RF55_1014,411091,1e-55
RF55_10145,102653626,1e-12
RF55_10146,550748,0.0
RF55_10147,550814,7e-72
RF55_10148,726709,9e-78
RF55_10150,724838,9e-55
RF55_10151,725308,5e-84
RF55_10152,725344,2e-84
RF55_10153,408575,0.0
RF55_1015,413966,0.0
RF55_10154,411495,1e-146
RF55_10156,551738,2e-28
RF55_10157,408673,0.0
RF55_10158,412328,8e-49
RF55_10159,408613,1e-41
RF55_10161,410405,0.0
RF55_10162,726080,2e-32
RF55_10163,726080,4e-157
RF55_10164,102655030,6e-28
RF55_1016,552289,3e-13
RF55_10165,552480,6e-150
RF55_10166,410882,0.0
